127.0.0.1, 2013-07-25 20:32:59, GET, /, HTTP/1.1, 303, 0.042703
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/default/index, HTTP/1.1, 200, 1.971556
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.002268
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003246
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002041
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001343
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003240
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002508
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001139
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001478
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000509
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001394
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002444
127.0.0.1, 2013-07-25 20:33:01, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001770
127.0.0.1, 2013-07-25 20:33:02, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000818
127.0.0.1, 2013-07-25 20:33:02, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000755
127.0.0.1, 2013-07-25 20:33:02, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000598
127.0.0.1, 2013-07-25 20:33:02, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000650
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/default/index, HTTP/1.1, 200, 0.025474
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001452
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000807
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.002901
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001478
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.004015
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001511
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.002900
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000664
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000467
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.001428
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000950
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000489
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000744
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001675
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.002058
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.002338
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.002161
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000461
127.0.0.1, 2013-07-25 20:33:08, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.000674
